unspsc,root_domain,page_url,product_title,brand,eco_friendly,merged_description,product_identifier,intended_industries,applicability,ethical_and_sustainability_practices,materials,ingredients,manufacturing_countries,manufacturing_type,customization,packaging_type,form,quality_standards_and_certifications,miscellaneous_features,production_capacity,price,size,color,purity,energy_efficiency,pressure_rating,power_rating
Medical documentation products,bkbooks.com,https://bkbooks.com/collections/book/caregiver+eating-or-not-eating,End of Life Books,Hospice Pioneer,,"""End of Life Books"" is a collection of books focused on hospice education, specifically designed to support families in understanding end of life and caregiving. This collection features books authored by Barbara Karnes RN, the author of 'Gone From My Sight', making it a valuable resource in the hospice education industry.",[],"['Education', 'Healthcare']","['Caregiving', 'Hospice Education']",[],[],[],[],[],[],[],[],[],"['Authored by Barbara Karnes RN', 'Part of the BK Books series']",[],[],[],[],[],[],[],[]
Thanatology services,bkbooks.com,https://bkbooks.com/collections/booklet-bundles/palliative-care+end-of-life,End of Life Bundles,BK Books,,"The End of Life Bundles from BK Books are comprehensive educational resources designed to support families and professionals navigating the death and dying process. These bundles are tailored specifically for palliative care and end-of-life care, making them an essential tool for those involved in hospice care, bereavement support, and caregiving. The bundles are available in various quantities, with prices ranging from $7.00 to $14.00 depending on the number of bundles purchased. The bundles include a variety of booklets and materials that cover a wide range of topics related to end-of-life care, including bereavement, caregiving, death, death and dying, death doula, dementia, dying process, dynamics of dying, hospice care, hospice end-of-life care, hospice nurses, hospice speakers, life-threatening conditions, life-threatening illness, my friend I care, palliative care, prepare for death, side bundle, signs of death, signs of end of life, signs of fast death, Spanish grief literature, and Spanish literature on death. These resources are available in multiple languages, ensuring accessibility for a global audience. The bundles are designed to provide comprehensive support and education, making them a valuable resource for professionals and caregivers in the field of end-of-life care.",[],"['Education', 'Healthcare']","['Caregiving', 'Palliative Care', 'End-of-Life Care', 'Supporting Families And Professionals During The Death And Dying Process', 'Bereavement Support']",[],[],[],[],[],"['Available in multiple languages', 'Available in various quantities', 'Tailored for palliative care and end-of-life care']",[],[],[],"['Available in multiple languages', 'User-friendly design', 'Designed for palliative care and end-of-life care', 'Practical guidance for professionals and caregivers']",[],"[{'amount': 7.0, 'currency': 'USD', 'type': 'min'}, {'amount': 14.0, 'currency': 'USD', 'type': 'max'}]",[],[],[],[],[],[]
Medical documentation products,bkbooks.com,https://bkbooks.com/collections/booklets/palliative-care+literature-on-death-in-vietnamese,End of Life Care Booklet,,,"The ""End of Life Care Booklet"" is a resource designed to support individuals and caregivers during the end of life care process. It is part of a collection focused on death in French and life-threatening illness, offering essential information and guidance.",[],['Healthcare'],"['End-of-Life Care', 'End of Life Care']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Medical documentation products,bkbooks.com,https://bkbooks.com/collections/all/signs-of-death+feeding,End of Life Caregivers,,,"""End of Life Caregivers"" is a collection of books designed to offer comprehensive support and guidance for caregivers during the end of life process, being part of the 'signs of death, feeding' collection.",[],['Healthcare'],"['Caregiving Support', 'Support For End Of Life Caregivers']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Medical documentation products,bkbooks.com,https://bkbooks.com/collections/booklets/palliative-care+mothers,End of Life Guideline Series,Barbara Karnes,,A series of guidelines aimed at providing support and guidance for families and professionals during the death and dying process. These guidelines are part of the End of Life Guideline Series by Barbara Karnes.,[],"['Education', 'Healthcare']","['end-of-life care', 'Support And Guidance For Families And Professionals During The Death And Dying Process', 'end of life care', 'Support For End Of Life Challenges']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Health education and nutrition and food preparation instructional materials,bkbooks.com,https://bkbooks.com/collections/booklet-bundles/bereavement+prepare-for-death,End of Life Speaker Bundle,,,"The ""End of Life Speaker Bundle"" is a collection of resources designed for speakers, focusing on the topic of end of life, as part of the Dynamics of Dying, Death, and Dying series.",[],"['Education', 'Professional Services', 'Healthcare']","['speaker resources for end of life', 'End Of Life Presentations']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Medical documentation products|Mortuary equipment and supplies|Printed publications,bkbooks.com,https://bkbooks.com/collections/all/hospice-staff,End of Life Speaker,,,"""The 'End of Life Speaker' is a book designed to provide guidance and support for individuals dealing with end-of-life issues. It is a part of the hospice staff collection, catering specifically to the needs of hospice professionals and their patients.""",[],"['Education', 'Healthcare']","['Speaking On End Of Life Issues', 'Speaking About End-Of-Life Issues', 'Support For Speakers About End-Of-Life Care']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Medical documentation products|Mortuary equipment and supplies,bkbooks.com,https://bkbooks.com/collections/all/signs-of-dying+doula,End of Life Video,Barbara Karnes,,"""End of Life Video"" by Barbara Karnes is a collection of educational and supportive videos designed to assist individuals facing the end of life. This content is part of the 'signs of dying' collection, offering insights and resources tailored to this specific audience.",[],"['Education', 'Healthcare']","['Providing Guidance And Support For Families And Professionals During The Death And Dying Process', 'Educational And Supportive Resources For Individuals Facing The End Of Life']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Medical documentation products,bkbooks.com,https://bkbooks.com/collections/all/dying-process+end-of-life-speaker,End of Life,Barbara Karnes,,A book that offers guidance and support for individuals experiencing end of life during the process. It is part of the Barbara Karnes' end of life materials.,[],"['Publishing', 'Healthcare']","['end-of-life care', 'guidance and support for individuals experiencing end of life', 'Information On End Of Life Care']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Face and head protection,tradiform.co.uk,https://tradiform.co.uk/product-category/shop/plasterer/,Endurance Safety Helmet,,,"The ""Safety Helmet"" is designed for electricians, offering protection suitable for their work environment.",[],"['Construction', 'Electrical', 'Safety']",['head protection for electricians'],[],[],[],[],[],[],[],[],[],[],[],"[{'amount': 10.949999809265137, 'currency': 'GBP', 'type': 'exact'}]",[],[],[],[],[],[]
Combination herbs/alternative therapies,rootsapothecary.com,https://www.rootsapothecary.com/products/energy-tincture?pr_prod_strat=jac&pr_rec_id=6262c6f33&pr_rec_pid=10883983171&pr_ref_pid=4609524301884&pr_seq=uniform&variant=40690180489400,Energy Tincture,Roots Apothecary,True,"The Energy Tincture from Roots Apothecary is a meticulously crafted herbal supplement designed to boost both short-term and long-term energy levels. This product is composed of twice-extracted nootropic and adaptogenic botanicals, ensuring a smooth and stable energy support experience without peaks or crashes. The tincture is made from certified organic herbs, including Eleuthero, Rhodiola, Yerba Mate, FT Sencha Green Tea, Ginger, Rosemary, and Schisandra berries, all of which are known for their memory and focus-supporting properties. The tincture also includes Ginkgo and Peppermint, which aid in adrenal balance and provide a calming effect. The energy tincture is double-extracted, with the first extraction lasting 42 days using high-quality certified organic cane alcohol (40-55%) and reverse osmosis water, followed by a second extraction at 140 degrees Fahrenheit for 45 minutes. This process ensures that both ethanol and water-soluble nutrients are extracted into the solution, enhancing the potency and overall quality of the tincture. The product is certified organic and gluten-free, with other ingredients being certified organic and gluten-free vegetable glycerin. The tincture is available in single or two-pack options and can be purchased at a unit price of $28.00. It is recommended to dilute 1.5mL (60 drops or 1.5 droppers full) with at least 4oz of water and use twice daily with or without food. The caffeine content is approximately 15mg per serving, although this may vary slightly from batch to batch due to natural variations in the harvests. The Energy Tincture is priced at $28.00 for a single unit, with subscription options available to save 10% on orders. The product is packaged in a way that ensures its high concentration and potency are maintained. It is important to note that the tincture is not intended to diagnose, cure, treat, or prevent any disease, and users should consult with a medical professional before use. The product is available for purchase in the United States and can be ordered online with various delivery options.",[],"['Health & Wellness', 'Healthcare']","['Nootropic And Adaptogenic Effects', 'Boosting Energy Levels', 'Nootropic And Adaptogenic Support', 'Enhancing Energy Levels']","['high level of purity and quality', 'gluten-free', 'made from certified organic herbs and cane alcohol', 'certified organic herbs']",[],"['Schisandra Berries', 'Yerba Mate', 'Ginkgo', 'Rosemary', 'FT Sencha Green Tea', 'Rhodiola', 'Eleuthero', 'Peppermint', 'Ginger', 'Gluten-Free Vegetable Glycerin', 'Certified Organic Cane Alcohol']",[],[],[],['Bottles'],['Liquid'],"['Certified Organic', 'Gluten-Free']","['Caffeine content varies slightly by batch', 'Subscription options available', 'Dosage: 1.5mL (60 drops or 1.5 droppers full) diluted with at least 4oz of water, taken twice daily with or without food', 'Second extraction at 140 degrees Fahrenheit for 45 minutes', 'Caffeine Content: Approximately 15mg per serving', 'Double-extracted', 'Reverse osmosis water', 'High-quality certified organic cane alcohol (40-55%)']",[],"[{'amount': 28.0, 'currency': 'USD', 'type': 'exact'}, {'amount': 25.200000762939453, 'currency': 'USD', 'type': 'min'}, {'amount': 28.0, 'currency': 'USD', 'type': 'max'}]",[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]",[],[],[]
Engine coolant system|Filters,abovethebrine.com,https://abovethebrine.com/policies/shipping-policy,Engine Filters,,,"""Engine Filters"" are designed to remove impurities from marine engine fluids, ensuring clean and efficient operation.",[],['Marine'],"['engine fluid filtration', 'Maintaining Engine Cleanliness', 'Efficiency Maintenance']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Locks and security hardware and accessories,epiclock.in,https://www.epiclock.in/page/epic-smart-digital-door-lock-lowest-price-in-karnal-haryana,Epic Digital Smart Door Lock ES-P9100FK,Epic Lock,,"The Epic Digital Smart Door Lock ES-P9100FK is a sophisticated digital smart door lock designed to enhance the security and aesthetics of various residential and commercial properties. This model is part of Epic Lock's range of innovative digital locks, known for their advanced security features and user-friendly interface. The ES-P9100FK model is equipped with a digital encryption security code, ensuring that the number of keys in circulation is kept confidential. This feature eliminates the need for multiple keys, as a single key or a single finger can open all doors, providing a convenient and secure solution. The lock also features an auto-relock function, which allows it to lock automatically when the user is away, enhancing security by preventing unauthorized access. The One-Touch Locking system allows users to lock the door by simply tapping anywhere on the keypad, offering a simple and efficient locking mechanism. Additionally, the lock includes low battery alerts, which notify users when the battery needs replacement, ensuring that the lock remains functional even when the battery is low. The Epic Digital Smart Door Lock ES-P9100FK is powered by electricity, but it also offers a battery-operated option to prevent power failures from preventing entry. This model is ideal for those who need a reliable and secure locking solution, particularly for the elderly and disabled, as it can be easily programmed to open only when the correct access rights are present. The lock's design and functionality make it a popular choice in Orchha, Madhya Pradesh, and other areas, providing a luxurious and secure entry solution for various types of properties.",[],"['Technology', 'Security']","['commercial security', 'residential security']",[],[],[],[],[],"['Supports auto re-lock functionality', 'Can be easily programmed to open only when the correct access rights are present', 'Allows for the removal of access rights for lost keys']",[],[],[],"['Digital encryption in keys', 'Auto-relock function', 'Access rights removal for lost keys', 'Digital Encryption Security Code', 'One-touch locking mechanism', 'Auto re-lock functionality', 'Low battery alerts', 'Automatic locking when user is away', 'One-Touch Locking system', 'Battery-operated option']",[],[],[],[],[],[],[],[]
Locks and security hardware and accessories,epiclock.in,https://www.epiclock.in/page/epic-smart-digital-door-lock-lowest-price-in-gangtok-sikkim,Epic Smart Digital Door Lock EF-8000L,,,"The Epic Smart Digital Door Lock EF-8000L is a digital smart door lock model available in Gurdaspur, Punjab. It features advanced security technology, including auto relock, one-touch locking, low battery alerts, and perfect for the elderly and disabled. The lock is powered by electricity, ensuring it functions even during power failures. It is designed to change the look of doors with its attractive design, providing luxuriance and security.",[],['Security'],"['security', 'door locking']",[],[],[],[],[],[],[],[],[],"['low battery alerts', 'auto relock', 'one-touch locking', 'designed to change the look of doors']",[],[],[],[],[],[],[],[]
Locks and security hardware and accessories,epiclock.in,https://www.epiclock.in/page/epic-smart-digital-door-lock-lowest-price-in-guwahati-assam,Epic Smart Digital Door Lock ES-303G,,,"The Epic Smart Digital Door Lock ES-303G is a digital smart door lock model available in Tehri, Uttarakhand. It offers advanced security features such as auto relock, one-touch locking, low battery alerts, and perfect for the elderly and disabled. The lock is powered by electricity, ensuring it functions even during power failures. It is designed to change the look of doors with its attractive design, providing luxuriance and security.",[],['Security'],"['security', 'door locking']",[],[],[],[],[],[],[],[],[],"['low battery alerts', 'auto relock', 'one-touch locking', 'designed to change the look of doors']",[],[],[],[],[],[],[],[]
Locks and security hardware and accessories,epiclock.in,https://www.epiclock.in/page/epic-smart-digital-door-lock-lowest-price-in-gaviyar-surat,Epic Smart Digital Door Lock ES-7000K,,,"The Epic Smart Digital Door Lock ES-7000K is a digital smart door lock model available in Hathras, Uttar Pradesh. It features advanced security technology, including auto relock, one-touch locking, low battery alerts, and perfect for the elderly and disabled. The lock is powered by electricity, ensuring it functions even during power failures. It is designed to change the look of doors with its attractive design, providing luxuriance and security.",[],['Security'],"['security', 'door locking']",[],[],[],[],[],[],[],[],[],"['low battery alerts', 'auto relock', 'one-touch locking', 'designed to change the look of doors']",[],[],[],[],[],[],[],[]
Locks and security hardware and accessories,epiclock.in,https://www.epiclock.in/page/epic-smart-digital-door-lock-lowest-price-in-udupi-karnataka,Epic Smart Digital Door Lock ES-F7000K,,,"The Epic Smart Digital Door Lock ES-F7000K is a digital smart door lock model available in Pilibhit, Uttar Pradesh. It offers advanced security features such as auto relock, one-touch locking, low battery alerts, and perfect for the elderly and disabled. The lock is powered by electricity, ensuring it functions even during power failures. It is designed to change the look of doors with its attractive design, providing luxuriance and security.",[],['Security'],"['security', 'door locking']",[],[],[],[],[],[],[],[],[],"['low battery alerts', 'auto relock', 'one-touch locking', 'designed to change the look of doors']",[],[],[],[],[],[],[],[]
Locks and security hardware and accessories,epiclock.in,https://www.epiclock.in/page/epic-smart-digital-door-lock-lowest-price-in-haflong-assam,Epic Smart Digital Door Lock ES-K70,,,"The Epic Smart Digital Door Lock ES-K70 is a digital smart door lock model available in Jhansi, Uttar Pradesh. It offers advanced security features such as auto relock, one-touch locking, low battery alerts, and perfect for the elderly and disabled. The lock is powered by electricity, ensuring it functions even during power failures. It is designed to change the look of doors with its attractive design, providing luxuriance and security.",[],['Security'],"['security', 'door locking']",[],[],[],[],[],[],[],[],[],"['low battery alerts', 'auto relock', 'one-touch locking', 'designed to change the look of doors']",[],[],[],[],[],[],[],[]
Locks and security hardware and accessories,epiclock.in,https://www.epiclock.in/page/epic-smart-digital-door-lock-lowest-price-in-vasvari-gam-surat,Epic Smart Digital Door Lock POP SCAN H,,,"The Epic Smart Digital Door Lock POP SCAN H is a digital smart door lock model available in Madurai, Tamil Nadu. It offers advanced security features such as auto relock, one-touch locking, low battery alerts, and perfect for the elderly and disabled. The lock is powered by electricity, ensuring it functions even during power failures. It is designed to change the look of doors with its attractive design, providing luxuriance and security.",[],['Security'],"['security', 'door locking']",[],[],[],[],[],[],[],[],[],"['low battery alerts', 'auto relock', 'one-touch locking', 'designed to change the look of doors']",[],[],[],[],[],[],[],[]
Batteries and cells and accessories,solarguyspro.com,https://solarguyspro.com/products/epoch-batteries-12v-15a-battery-charger-epoch-batteries?_pos=4&_fid=ef087aa5f&_ss=c,Epoch Batteries 12V 15A Battery Charger,Epoch Batteries,,"The Epoch Batteries 12V 15A Battery Charger is a versatile and efficient charging solution designed to meet various battery needs. This battery charger operates at a voltage of 12V and an amperage of 15A, making it suitable for a range of applications. It is designed to be user-friendly and comes ready to charge right out of the box, eliminating the need for additional setup. The charger plugs into standard 120V A/C outlets, ensuring compatibility with a wide range of power sources. It features a ring terminal connector for the output, providing a secure and reliable connection. Constructed from lightweight aluminum alloy, the charger is both durable and portable. Additionally, it doubles as a heatsink, which helps in dissipating heat and maintaining optimal performance. The Epoch Batteries 12V 15A Battery Charger boasts an impressive 95% charging efficiency, ensuring that your batteries are charged quickly and efficiently. It also includes several safety features such as overtemperature protection, ambient temperature protection, reverse polarity protection, overcharge protection, output overvoltage protection, output overcurrent protection, and output short circuit protection. The charger is rated IP67, which means it is dustproof and waterproof, making it suitable for use in various environments, including mobile operations like RVs and marine applications. The product is designed with a shock-resistant feature, allowing it to be used in both storage and operation modes. This battery charger is ideal for DIY solar enthusiasts and professionals who require a reliable and efficient charging solution for their solar power systems. The Epoch Batteries 12V 15A Battery Charger is priced at $99.00 and is available for purchase with multiple payment options, including ShopPay. The product is shipped free of charge, and the usual processing time for orders is between 1 to 3 business days, with delivery times ranging from 3 to 9 business days depending on the carrier and delivery location. This battery charger is a high-quality, reliable, and efficient choice for anyone looking to maintain their solar power systems.",[],"['Technology', 'Automotive', 'RV', 'Marine']","['charging batteries', 'used in solar power systems', 'charging devices']",[],['Aluminum Alloy'],[],[],[],[],[],[],['IP67'],"['Multiple Safety Features', 'Ring Terminal Connector', 'IP67 Rating', 'Heatsink Functionality', 'Doubles as a Heatsink', 'Shock-Resistant Feature', 'Dustproof and Waterproof Rating', 'Shock and Impact Resistance']",[],"[{'amount': 99.0, 'currency': 'USD', 'type': 'exact'}]",[],[],[],[],[],[]
Mail machines|Printing machinery and equipment|Signage equipment,athenspaper.com,https://www.athenspaper.com/resource-center/_rc_tag-cartons-mailers-or-direct-mail-or-packaging-and-equipment-or-supply-chain/,Equipment,,,"A range of equipment products designed for various applications, including banner stands and direct mail. These products are part of the supply chain and are essential for efficient operations.",[],"['Supply Chain', 'Direct Mail', 'Video', 'Mail & Display', 'Packaging', 'Digital', 'Wide Format Display']","['Packaging', 'direct mail', 'Printing', 'banner stands']",[],[],[],[],[],"['Customization options available for various applications', 'Various equipment designed for packaging and printing applications', 'Equipment solutions for direct mail and display hardware', 'Designed for various applications']",[],[],[],[],[],[],[],[],[],[],[],[]
Optical domes|Thermal insulation,aladdintemprite.com,https://www.aladdintemprite.com/catalogsearch/result/index/?atrcolor=607&atrsystem=190&cat=236&q=LID+FOR+base+hot,"Essence™ Dome 9"" Insulated",Essence™,,"The ""Essence™ Dome 9\"" Insulated"" is a 9-inch insulated dome from the Essence system, designed to provide protection and insulation. It is available in multiple color options and comes in cases of 12.",[],['Construction'],"['high heat applications', 'insulated dome applications']",[],[],[],[],[],[],[],[],[],"['Insulated', 'High heat resistance']",[],[],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '9'}]",[],[],[],[],[]
Seating,nationalbusinessfurniture.com,https://www.nationalbusinessfurniture.com/eurotech-seating,Essential Mesh Back Chair With Flip Arms And Memory Foam Seat,,,"The Essential Mesh Back Chair With Flip Arms And Memory Foam Seat is a versatile seating solution, priced at $289.00. It features a mesh back and flip arms for added comfort.",[],[],[],[],['Memory Foam'],[],[],[],[],[],[],[],"['Memory foam seat', 'Flip arms', 'Mesh back']",[],"[{'amount': 289.0, 'currency': 'USD', 'type': 'exact'}]",[],[],[],[],[],[]
Datacom and network connectivity installation devices and equipment,ir815.com,https://ir815.com/show/773121.html,Ethernet Wall Plates,,,"Ethernet Wall Plates provide faster data transmission speed and more stable connections for home networks. They use standardized Ethernet cables such as Cat5, Cat5e, Cat6, or Cat7 to transmit data by connecting to a router or switch. These plates are highly compatible with various network devices and can provide a stable network signal, reducing latency, and increasing network speed. Ethernet wall plates are essential for transmitting home network signals to any location through wiring, allowing all devices in the home to easily access the network.",[],['Technology'],['Home Network Connectivity'],[],['Ethernet Cables'],[],[],[],['Highly compatible with various network devices'],[],[],[],"['Highly compatible with various network devices', 'Compatible with various network devices', 'More stable connections', 'Stable connection', 'Faster data transmission speed']",[],[],[],[],[],[],[],[]
Pipe connectors|Rubber and plastic tubing,plumbmaster.com,https://www.plumbmaster.com/search?q=wolverine+brass%3Arelevance%3AmanufacturerName%3AWolverine+Brass%3AType%3ATrap,Extension Tube,,,"""The 'Extension Tube' is a plumbing fitting used to extend the length of a pipe system, providing additional reach and flexibility.""",[],['Plumbing'],"['extending pipe systems', 'Connecting Pipes Over Long Distances']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Medication dispensing and measuring devices and supplies,apothecaryproducts.com,https://shop.apothecaryproducts.com/products/snap-cap-vial?_pos=2&_sid=c9a2de17d&_ss=r,Ezy Dose® Snap Cap Vial,Apothecary Products,,"The Ezy Dose® Snap Cap Vial is a child-resistant-exempt medication storage solution designed to make medication access easier for patients. This product is particularly beneficial for individuals who require medication management but do not meet the criteria for child-resistant storage. The vials are easy to open, ensuring that patients can access their medication with minimal effort. The Ezy Dose® Snap Cap Vials are available in various sizes, including 6 dr, 8 dr, 13 dr, 16 dr, 20 dr, 30 dr, 40 dr, and 60 dr, with corresponding dimensions and quantities per case. For instance, the 6 dr vials measure 2 1/2"" H x 1"" DIA and are packaged in cases of 620 vials. The vials are clearly audible with a snap feature, ensuring secure transport and storage of medications. They come with English and Spanish embossed caps, enhancing accessibility for patients who require language support. The vials are shipped in the same case as the caps, and they must be ordered in full cases. The case dimensions are 13"" x 12"" x 14 1/2"". The product is manufactured by Apothecary Products and is identified by part number 30440. The Ezy Dose® Snap Cap Vials are designed to meet the needs of patients who require medication management without compromising on safety and accessibility.",['Part_Number: 30440'],['Healthcare'],['Medication Storage'],[],[],[],[],[],[],[],[],[],"['English and Spanish embossed caps', 'Snap feature for secure transport and storage', 'Shipped in the same case as the caps', 'Child-resistant-exempt', 'Easy to open']",[],[],"[{'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '2.5'}, {'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '1'}]",[],[],[],[],[]
Tool attachments and accessories,chipx.co.nz,https://www.chipx.co.nz/collections/all/tooling_endmill+flute-direction_up+coating_uncoated,FLAT EMU 3D 0.25SHK 2F 8FL 8LBS 58OAL,ChipX Limited,,"A tooling product from ChipX Limited, priced at $24.00 NZD. This product is designed for specific applications and is available in a 2F configuration with 8FL and 8LBS, and 58OAL dimensions.",[],['Manufacturing'],"['specific applications', 'tooling applications']",[],[],[],[],[],[],[],[],[],"['58OAL dimensions', '2F configuration']",[],"[{'amount': 24.0, 'currency': 'NZD', 'type': 'exact'}, {'amount': 35.0, 'currency': 'NZD', 'type': 'exact'}]","[{'dimension': 'Weight', 'qualitative': False, 'type': 'exact', 'unit': 'lbs', 'value': '8'}, {'dimension': 'Diameter', 'qualitative': False, 'type': 'min', 'unit': 'mm', 'value': '5'}, {'dimension': 'Diameter', 'qualitative': False, 'type': 'max', 'unit': 'mm', 'value': '6'}, {'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '50'}]",[],[],[],[],[]
Metal cutting tools|Tool attachments and accessories,chipx.co.nz,https://www.chipx.co.nz/collections/all/flute-diamter_6+material_carbide,FLAT EMU 6D 0.25SHK 1F 20FL 20LBS 58OAL,,,"A tool model with a shank size of 10 and styli ball size of 5mm, 6mm, with styli ball type as Ruby and styli length of 100mm, 50mm. The styli stem is 3.5mm, and the styli thread is M4. It is priced at $24.00 NZD.",[],['Manufacturing'],"['tool use', 'Carbide Tool']",[],['Carbide'],[],[],[],[],[],[],[],['Compression flute direction'],[],"[{'amount': 24.0, 'currency': 'NZD', 'type': 'exact'}]","[{'dimension': 'Diameter', 'qualitative': False, 'type': 'min', 'unit': 'mm', 'value': '5'}, {'dimension': 'Diameter', 'qualitative': False, 'type': 'max', 'unit': 'mm', 'value': '6'}, {'dimension': 'Length', 'qualitative': False, 'type': 'max', 'unit': 'mm', 'value': '100'}, {'dimension': 'Length', 'qualitative': False, 'type': 'min', 'unit': 'mm', 'value': '50'}]",[],[],[],[],[]
Suspension system components,performancelifts.com,https://performancelifts.com/leveling-kits/toyota/2016-2023-toyota-tacoma-leveling-kits/vehicle-year-2019/drive-type-2-wheel-drive.html,FOX 2005+ Toyota Tacoma 2.5 Factory Series DSC Reservoir Coilover # 880-06-418,FOX Racing Shox,,"The FOX 2005+ Toyota Tacoma 2.5 Factory Series DSC Reservoir Coilover # 880-06-418 is a premium suspension leveling kit tailored for the 2016 through 2023 Toyota Tacoma trucks. This coilover suspension system is engineered to enhance the vehicle's performance and stability, making it an ideal choice for those looking to improve their Tacoma's handling and off-road capabilities. The kit includes all the necessary components to lift the truck to its desired height, ensuring a superior ride quality and improved off-road performance. This DSC (Differential Speed Control) coilover system is compatible with the 2.5 engine variant of the Toyota Tacoma, providing a versatile solution for various Tacoma models. The FOX 2005+ Toyota Tacoma 2.5 Factory Series DSC Reservoir Coilover is designed to fit both 2WD and 4WD configurations, offering flexibility for different driving conditions. The product is available at a special price of $2,249.00, reduced from the regular price of $2,349.00. This coilover system is part of a broader range of suspension lift kits and leveling kits offered by Performance Lifts, which specializes in providing high-quality suspension solutions for various vehicle makes and models.",[],['Automotive'],"['Suspension Lift Kit', 'Off-Road Capability Enhancement', 'Performance Improvement', 'Suspension System', 'Vehicle Performance Enhancement', 'Suspension Enhancement']",[],[],[],[],[],[],[],[],[],"['Precision engineering', 'DSC (Differential Speed Control) compatible', 'Performance enhancement', 'Suitable for all-wheel drive trucks', 'Engineered for superior performance and reliability', '2WD and 4WD compatible', 'DSC (Differential Stability Control) system', '4-wheel drive compatibility', 'Part of the FOX Racing Shox lineup', 'Seamless installation']",[],"[{'amount': 2249.0, 'currency': 'USD', 'type': 'min'}, {'amount': 2349.0, 'currency': 'USD', 'type': 'max'}]",[],[],[],[],[],[]
Portable Structure Consolidating Components,santoshenterprises.in.net,https://www.santoshenterprises.in.net/frp-cabins.html,FRP Portable Cabin,,,"The FRP Portable Cabin is a commercial-grade structure designed for easy transportation and installation. It features a blue color and a mild steel bottom frame with a wall thickness of 10 mm. The cabin has a height of 8.2 feet and is color-coated. It is portable and suitable for various commercial applications. The cabin is available at an approximate price of Rs 33,000 per piece.",[],"['Utility', 'Security', 'Construction', 'Commercial']","['installation', 'suitable for various applications', 'portability']",[],"['Fiber Reinforced Plastic', 'Mild Steel']",[],[],[],[],[],[],[],['Mild Steel Bottom Frame'],[],"[{'amount': 33000.0, 'currency': 'INR', 'type': 'exact'}]","[{'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'ft', 'value': '8.2'}]","[{'original': 'Blue', 'simple': 'Blue'}]",[],[],[],[]
Uncoated base papers,numericpaper.com,https://www.numericpaper.com/paper/cf-silver/fsc-type-fsc-mix/,FSC MIX Paper,,True,"FSC MIX Paper is a versatile and eco-friendly paper product available in a variety of colors, including yellow. This paper is part of the FSC MIX series, which emphasizes sustainability and adherence to the Forest Stewardship Council (FSC) standards, ensuring that the paper is responsibly sourced and recycled. The FSC MIX paper is available in multiple sizes, including 700x1000mm, 787x1092mm, and 889x1194mm, catering to different printing and packaging needs. It is also offered in reel sizes of 787mm and 889mm, providing flexibility for various usage scenarios. The paper is uncoated, which means it is plain and does not have a coating, making it suitable for a wide range of applications, including stationery, packaging, and other printed materials. The FSC MIX paper is available in different grammages, including 120gsm, 200gsm, and 300gsm, allowing for customization based on the specific requirements of the project. This product is ideal for businesses and individuals who prioritize sustainability and ethical practices in their paper choices.",[],"['Printing', 'Office Supplies', 'Paper & Packaging']","['stationery', 'Printing', 'printing', 'packaging', 'Packaging']","['ethical sourcing', 'adherence to the Forest Stewardship Council (FSC) standards', 'sustainability']",['Paper'],[],[],[],[],[],[],['FSC'],"['Available in multiple grammages', 'Uncoated', 'Categorized under FSC Recycled and Non-FSC options']",[],[],"[{'dimension': 'Length', 'qualitative': False, 'type': 'min', 'unit': 'mm', 'value': '700'}, {'dimension': 'Length', 'qualitative': False, 'type': 'max', 'unit': 'mm', 'value': '1194'}, {'dimension': 'Width', 'qualitative': False, 'type': 'min', 'unit': 'mm', 'value': '1000'}, {'dimension': 'Width', 'qualitative': False, 'type': 'max', 'unit': 'mm', 'value': '1194'}]",[],[],[],[],[]
